"Time"	"Channel 0"	"Channel 1"	"Channel 2"	"Channel 3"	"Channel 4"	"Channel 5"	"Channel 6"	"Channel 7"	"Channel 8"	"Channel 9"	"Channel 10"	"Channel 11"	
41794.3870947222	3.89068603515625	-0.13427734375	3.89678955078125	0.0634765625	3.873291015625	0.0994873046875	3.9801025390625	0.1336669921875	0.006103515625	0.0128173828125	-0.9710693359375	0.6805419921875	
41794.3870947454	3.89068603515625	-0.13153076171875	3.89678955078125	0.0634765625	3.870849609375	0.10009765625	3.98162841796875	0.135498046875	0.0091552734375	0.0146484375	-0.98419189453125	0.6756591796875	
41794.3870947685	3.89190673828125	-0.1318359375	3.89892578125	0.06256103515625	3.870849609375	0.10101318359375	3.9813232421875	0.1385498046875	0.00518798828125	0.0091552734375	-0.985107421875	0.667724609375	
41794.3870947917	3.89434814453125	-0.13092041015625	3.89801025390625	0.06683349609375	3.8720703125	0.0982666015625	3.9801025390625	0.1373291015625	0.01068115234375	0.0177001953125	-1.0028076171875	0.6451416015625	
41794.3870948148	3.88916015625	-0.13275146484375	3.897705078125	0.06378173828125	3.86749267578125	0.0982666015625	3.97674560546875	0.1336669921875	0.0030517578125	0.0103759765625	-1.0247802734375	0.6256103515625	
41794.387094838	3.89190673828125	-0.13427734375	3.897705078125	0.0634765625	3.8671875	0.09979248046875	3.9794921875	0.13671875	0.00244140625	0.0054931640625	-1.0357666015625	0.6060791015625	
41794.3870948611	3.89434814453125	-0.13275146484375	3.89678955078125	0.06256103515625	3.87115478515625	0.09796142578125	3.9788818359375	0.1348876953125	0.0006103515625	0.0140380859375	-1.0198974609375	0.60638427734375	
41794.3870948843	3.89190673828125	-0.13153076171875	3.89678955078125	0.06500244140625	3.87115478515625	0.09857177734375	3.9788818359375	0.1361083984375	0.0048828125	0.00579833984375	-1.0089111328125	0.640869140625	
41794.3870949074	3.89312744140625	-0.13275146484375	3.89801025390625	0.06134033203125	3.87176513671875	0.10040283203125	3.97857666015625	0.1348876953125	0.006103515625	0.0152587890625	-0.99334716796875	0.6689453125	
41794.3870949306	3.89434814453125	-0.12939453125	3.90045166015625	0.06866455078125	3.87237548828125	0.10162353515625	3.98284912109375	0.1385498046875	0.0115966796875	0.0152587890625	-0.9747314453125	0.6793212890625	
41794.3870949537	3.89068603515625	-0.13153076171875	3.89923095703125	0.064697265625	3.87237548828125	0.10040283203125	3.9813232421875	0.13763427734375	0.0091552734375	0.0079345703125	-0.9857177734375	0.662841796875	
41794.3870949769	3.89190673828125	-0.13275146484375	3.89923095703125	0.06500244140625	3.87054443359375	0.09857177734375	3.97918701171875	0.135498046875	0.0067138671875	0.018310546875	-0.99273681640625	0.6549072265625	
41794.387095	3.89068603515625	-0.13153076171875	3.900146484375	0.06591796875	3.86993408203125	0.10040283203125	3.9794921875	0.135498046875	0.0042724609375	0.0079345703125	-1.0272216796875	0.6268310546875	
41794.3870950231	3.89068603515625	-0.12939453125	3.89892578125	0.06378173828125	3.87115478515625	0.10162353515625	3.9794921875	0.133056640625	0.0042724609375	0.0091552734375	-1.0260009765625	0.6103515625	
41794.3870950463	3.89190673828125	-0.135498046875	3.89678955078125	0.06591796875	3.86871337890625	0.09796142578125	3.9813232421875	0.1361083984375	0.0054931640625	0.00457763671875	-1.0284423828125	0.6219482421875	
41794.3870950694	3.89434814453125	-0.13275146484375	3.89923095703125	0.06561279296875	3.87237548828125	0.10009765625	3.9837646484375	0.1348876953125	0.0067138671875	0.0054931640625	-1.0064697265625	0.6390380859375	
41794.3870950926	3.89404296875	-0.13427734375	3.89678955078125	0.06378173828125	3.8702392578125	0.10009765625	3.9788818359375	0.135498046875	0.0091552734375	0.0189208984375	-0.98297119140625	0.6536865234375	
41794.3870951157	3.89190673828125	-0.133056640625	3.89892578125	0.06103515625	3.86749267578125	0.09918212890625	3.9788818359375	0.13916015625	0.0103759765625	0.013427734375	-0.9674072265625	0.67962646484375	
41794.3870951389	3.89190673828125	-0.13031005859375	3.89801025390625	0.06500244140625	3.87115478515625	0.09796142578125	3.980712890625	0.1373291015625	0.0067138671875	0.0115966796875	-0.987548828125	0.66986083984375	
41794.387095162	3.89190673828125	-0.13153076171875	3.89678955078125	0.0677490234375	3.87115478515625	0.1007080078125	3.9813232421875	0.1361083984375	0.0042724609375	0.0103759765625	-0.994873046875	0.650634765625	
41794.3870951852	3.88946533203125	-0.13214111328125	3.89556884765625	0.06195068359375	3.86627197265625	0.09674072265625	3.978271484375	0.1336669921875	0.008544921875	0.006103515625	-1.0137939453125	0.6219482421875	
41794.3870952083	3.8916015625	-0.12939453125	3.89801025390625	0.06622314453125	3.86993408203125	0.09918212890625	3.9788818359375	0.1348876953125	-0.00030517578125	0.0091552734375	-1.0369873046875	0.58837890625	
41794.3870952315	3.89404296875	-0.13641357421875	3.89678955078125	0.064697265625	3.8671875	0.09796142578125	3.9794921875	0.13580322265625	0.00244140625	0.00885009765625	-1.03179931640625	0.60333251953125	
41794.3870952546	3.89312744140625	-0.13153076171875	3.89801025390625	0.06622314453125	3.87054443359375	0.10009765625	3.980712890625	0.13916015625	0.0067138671875	0.0128173828125	-1.0137939453125	0.62469482421875	
41794.3870952778	3.89312744140625	-0.12939453125	3.89923095703125	0.06500244140625	3.86871337890625	0.10040283203125	3.9801025390625	0.1373291015625	0.010986328125	0.01434326171875	-0.9716796875	0.67626953125	
